codigo_estacion,periodo_mensual,precipitacion
0023105070,2011-02,6.4
0023105070,2011-03,20.7
0023105070,2011-04,19.2
0023105070,2011-05,8.600000000000001
0023105070,2011-06,4.1000000000000005
0023105070,2011-07,22.5
0023105070,2011-08,12.4
0023105070,2011-09,14.2
0023105070,2011-10,14.3
0023105070,2011-11,17.0
0023105070,2011-12,4.7
0023105070,2012-01,5.7
0023105070,2012-02,1.4
0023105070,2012-03,3.4000000000000004
0023105070,2012-10,8.6
0023105070,2012-11,7.6000000000000005
0023105070,2012-12,3.3000000000000003
0023105070,2013-01,0.1
0023105070,2013-02,3.7
0023105070,2013-03,0.8
0023105070,2013-04,0.30000000000000004
0023105070,2013-05,13.600000000000001
0023105070,2013-06,18.1
0023105070,2013-07,3.6
0023105070,2013-09,3.2
0023105070,2014-11,20.1
0023105070,2017-12,0.1
0023105070,2018-01,0.9000000000000001
0023105070,2018-02,1.1
0023105070,2018-03,4.3
0023105070,2018-04,14.1
0023105070,2018-05,3.8000000000000003
0023105070,2019-08,7.9
0023107020,2019-03,1.0
0023107020,2019-04,40.2
0023107020,2019-05,17.0
0023107020,2019-06,13.8
0023107020,2019-07,5.0
0023107020,2019-08,3.8000000000000003
0025027050,2019-03,0.6000000000000001
0025027050,2019-04,8.2
0025027050,2019-05,20.0
0025027050,2019-06,13.8
0025027050,2019-07,8.4
0025027050,2019-08,0.8
0026165502,2017-03,11.700000000000001
0026165502,2017-05,11.1
0026165502,2017-06,18.2
0026165502,2017-07,17.400000000000002
0026165502,2017-08,9.9
0026165502,2017-09,22.1
0026165502,2017-10,18.0
0026165502,2017-11,14.6
0026165502,2017-12,10.2
0026165502,2018-01,4.0
0026165502,2018-02,10.7
0026165502,2018-03,8.9
0026165502,2018-04,13.200000000000001
0026165502,2018-05,12.0
0026165502,2018-06,12.6
0026165502,2018-07,7.3
0026165502,2018-08,8.200000000000001
0026165502,2018-09,17.6
0026165502,2018-10,9.5
0026165502,2018-12,1.4000000000000001
0026165502,2019-01,3.5
0026165502,2019-02,5.7
0026165502,2019-03,5.2
0026165502,2019-04,17.2
0026165502,2019-05,18.1
0026165502,2019-06,15.4
0026165502,2019-07,9.3
0026165502,2019-08,7.6000000000000005
0026175502,2017-03,16.8
0026175502,2017-05,5.1
0026175502,2017-06,17.5
0026175502,2017-07,7.8999999999999995
0026175502,2017-08,3.4
0026175502,2017-09,18.2
0026175502,2017-10,10.4
0026175502,2017-11,13.9
0026175502,2017-12,8.0
0026175502,2018-01,4.4
0026175502,2018-02,4.6
0026175502,2018-03,4.0
0026175502,2018-04,16.8
0026175502,2018-05,23.0
0026175502,2018-07,2.2
0026175502,2018-08,5.4
0026175502,2018-09,12.6
0026175502,2018-10,11.1
0026175502,2019-01,4.1
0026175502,2019-02,3.6999999999999997
0026175502,2019-03,7.2
0026175502,2019-04,13.0
0026175502,2019-05,22.7
0026180180,2017-08,9.4
0026180180,2017-09,21.8
0026180180,2017-10,6.4
0026180180,2017-11,30.0
0026180180,2017-12,4.0
0026180180,2018-01,8.6
0026180180,2018-02,4.2
0026180180,2018-03,12.0
