id_estacion;nom_est;longitud;latitud;altitud;et_mmy;departamento;municipio;ah;zszh;vereda;subregion;depto_region;corriente
27040040;NECHI [27040040];-74,76944592;8,097165166;44;1581;Antioquia;Nechi;MagdalenaCauca;BajoNechi(md);SANTA MARIA;Bajo Cauca;Antioquia - Bajo Cauca;
12025020;CARIBIA [12025020];-76,68333152;8,499996467;44;1581;Antioquia;Necocli;Caribe;LitoralRioMulatosyotrosdirectosalCaribe;CARIBIA;URABA;Antioquia - Urabá;
12025030;MELLITO EL [12025030];-76,67336144;8,542663139;49;1579;Antioquia;Necocli;Caribe;LitoralRioMulatosyotrosdirectosalCaribe;EL MELLITO ALTO;URABA;Antioquia - Urabá;
26160100;NEIRA [26160100];-75,51844781;5,163167108;1964;1076;Caldas;Neira;MagdalenaCauca;RioTapiasyotrosdirectosalCauca;;;Caldas - ;
26160120;CRISTALINA LA [26160120];-75,43577932;5,192198458;2384;990;Caldas;Neira;MagdalenaCauca;RioTapiasyotrosdirectosalCauca;CRISTALINA;;Caldas - ;
23060260;CHILAGUA FINCA [23060260];-74,382027;5,064639075;1051;1292;Cundinamarca;Nocaima;MagdalenaCauca;RioNegro;JAGUAL;;Cundinamarca - ;
23050250;NORCASIA RADIO [23050250];-74,89169346;5,574471229;771;1367;Caldas;Norcasia;MagdalenaCauca;RioLaMiel(Samana);;;Caldas - ;
54020020;NOVITA [54020020];-76,60555486;4,9556945;50;1579;Choco;Novita;Pacifico;RioTamanayotrosDirectosSanJuan;;;Choco - ;
56010040;NUQUI [56010040];-77,2658292;5,708057141;3;1594;Choco;Nuqui;Pacifico;DirectosPacificoFronteraPanama;SIN DEFINIR;;Choco - ;
26100300;OBANDO [26100300];-75,9658364;4,588606616;948;1319;ValledelCauca;Obando;MagdalenaCauca;RiosLasCaiÃ‚Â±asLosMicosyObando;GACHIMBAL;;ValledelCauca - ;
26230010;OLAYA [26230010];-75,81088617;6,628719018;542;1431;Antioquia;Olaya;MagdalenaCauca;DirectosRioCaucaentreRioSanJuanyPtoValdivia;EL PENCAL;Occidente;Antioquia - Occidente;
23120260;OTANCHE [23120260];-74,18461549;5,661724979;1078;1285;Boyaca;Otanche;MagdalenaCauca;RioCarare(Minero);CENTRO;;Boyaca - ;
23125080;OTANCHE [23125080];-74,18461549;5,661724979;1078;1285;Boyaca;Otanche;MagdalenaCauca;RioCarare(Minero);CENTRO;;Boyaca - ;
23060270;CABRERA LA [23060270];-74,1500014;5,133336134;1919;1086;Cundinamarca;Pacho;MagdalenaCauca;RioNegro;LA CABRERA;;Cundinamarca - ;
23065120;CABRERA LA [23065120];-74,13935803;5,141553094;1892;1092;Cundinamarca;Pacho;MagdalenaCauca;RioNegro;LA CABRERA;;Cundinamarca - ;
26160090;PACORA PLAZA FERIA [26160090];-75,45508188;5,522443302;1821;1108;Caldas;Pacora;MagdalenaCauca;RioTapiasyotrosdirectosalCauca;LA MARGARITA;;Caldas - ;
23120240;PAIME [23120240];-74,15463585;5,371389986;1008;1303;Cundinamarca;Paime;MagdalenaCauca;RioCarare(Minero);;;Cundinamarca - ;
26150060;ARAUCA [26150060];-75,70166855;5,108524673;887;1335;Caldas;Palestina;MagdalenaCauca;RioOtunyotrosdirectosalCauca;EL CACIQUE;;Caldas - ;
26155120;AEROPUERTO SANTAGUEDA [26155120];-75,68333344;5,08333378;1024;1299;Caldas;Palestina;MagdalenaCauca;RioChinchina;EL CACIQUE;;Caldas - ;
